START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
5/5/2018,3:15 PM,4:15 PM,Tigers at Royals,Kauffman Stadium - Kansas City,,5/5/2018,5/5/2018,6:15 PM,7:15 PM,FALSE,TRUE,5/5/2018,2:15 PM,3:15 PM,FREE,BUSY
5/6/2018,1:15 PM,2:15 PM,Tigers at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC ----- Local Radio: KYYS-1250 AM,5/6/2018,5/6/2018,4:15 PM,5:15 PM,FALSE,TRUE,5/6/2018,12:15 PM,1:15 PM,FREE,BUSY
5/8/2018,6:05 PM,7:05 PM,Royals at Orioles,Oriole Park at Camden Yards - Baltimore,Local TV: FSKC,5/8/2018,5/8/2018,9:05 PM,10:05 PM,FALSE,TRUE,5/8/2018,5:05 PM,6:05 PM,FREE,BUSY
5/9/2018,6:05 PM,7:05 PM,Royals at Orioles,Oriole Park at Camden Yards - Baltimore,Local TV: FSKC,5/9/2018,5/9/2018,9:05 PM,10:05 PM,FALSE,TRUE,5/9/2018,5:05 PM,6:05 PM,FREE,BUSY
5/10/2018,6:05 PM,7:05 PM,Royals at Orioles,Oriole Park at Camden Yards - Baltimore,Local TV: FSKC,5/10/2018,5/10/2018,9:05 PM,10:05 PM,FALSE,TRUE,5/10/2018,5:05 PM,6:05 PM,FREE,BUSY
5/11/2018,6:10 PM,7:10 PM,Royals at Indians,Progressive Field - Cleveland,Local TV: FSKC,5/11/2018,5/11/2018,9:10 PM,10:10 PM,FALSE,TRUE,5/11/2018,5:10 PM,6:10 PM,FREE,BUSY
5/12/2018,3:10 PM,4:10 PM,Royals at Indians,Progressive Field - Cleveland,Local TV: FSKC,5/12/2018,5/12/2018,6:10 PM,7:10 PM,FALSE,TRUE,5/12/2018,2:10 PM,3:10 PM,FREE,BUSY
5/13/2018,12:10 PM,1:10 PM,Royals at Indians,Progressive Field - Cleveland,Local TV: FSKC,5/13/2018,5/13/2018,3:10 PM,4:10 PM,FALSE,TRUE,5/13/2018,11:10 AM,12:10 PM,FREE,BUSY
5/14/2018,6:05 PM,7:05 PM,Rays at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC- ESPN,5/14/2018,5/14/2018,9:05 PM,10:05 PM,FALSE,TRUE,5/14/2018,5:05 PM,6:05 PM,FREE,BUSY
5/15/2018,7:15 PM,8:15 PM,Rays at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,5/15/2018,5/15/2018,10:15 PM,11:15 PM,FALSE,TRUE,5/15/2018,6:15 PM,7:15 PM,FREE,BUSY
5/16/2018,1:15 PM,2:15 PM,Rays at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC ----- Local Radio: KYYS-1250 AM,5/16/2018,5/16/2018,4:15 PM,5:15 PM,FALSE,TRUE,5/16/2018,12:15 PM,1:15 PM,FREE,BUSY
5/18/2018,7:15 PM,8:15 PM,Yankees at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,5/18/2018,5/18/2018,10:15 PM,11:15 PM,FALSE,TRUE,5/18/2018,6:15 PM,7:15 PM,FREE,BUSY
5/19/2018,6:15 PM,7:15 PM,Yankees at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,5/19/2018,5/19/2018,9:15 PM,10:15 PM,FALSE,TRUE,5/19/2018,5:15 PM,6:15 PM,FREE,BUSY
5/20/2018,1:15 PM,2:15 PM,Yankees at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC ----- Local Radio: KYYS-1250 AM,5/20/2018,5/20/2018,4:15 PM,5:15 PM,FALSE,TRUE,5/20/2018,12:15 PM,1:15 PM,FREE,BUSY
5/21/2018,7:15 PM,8:15 PM,Royals at Cardinals,Busch Stadium - St. Louis,Local TV: FSKC,5/21/2018,5/21/2018,10:15 PM,11:15 PM,FALSE,TRUE,5/21/2018,6:15 PM,7:15 PM,FREE,BUSY
5/22/2018,7:15 PM,8:15 PM,Royals at Cardinals,Busch Stadium - St. Louis,Local TV: FSKC,5/22/2018,5/22/2018,10:15 PM,11:15 PM,FALSE,TRUE,5/22/2018,6:15 PM,7:15 PM,FREE,BUSY
