START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/19,02:05 PM,03:05 PM,Rangers at Royals,Surprise Stadium - Surprise,"Local Radio: MLB.com",02/23/19,02/23/19,05:05 PM,06:05 PM,FALSE,TRUE,02/23/19,01:05 PM,02:05 PM,FREE,BUSY
02/24/19,02:05 PM,03:05 PM,Royals at Athletics,Hohokam Stadium - Mesa,"Local Radio: KCSP 610",02/24/19,02/24/19,05:05 PM,06:05 PM,FALSE,TRUE,02/24/19,01:05 PM,02:05 PM,FREE,BUSY
02/25/19,02:05 PM,03:05 PM,Rockies at Royals,Surprise Stadium - Surprise,"Local Radio: KCSP 610",02/25/19,02/25/19,05:05 PM,06:05 PM,FALSE,TRUE,02/25/19,01:05 PM,02:05 PM,FREE,BUSY
02/26/19,02:05 PM,03:05 PM,Dodgers at Royals,Surprise Stadium - Surprise,"Local Radio: MLB.com",02/26/19,02/26/19,05:05 PM,06:05 PM,FALSE,TRUE,02/26/19,01:05 PM,02:05 PM,FREE,BUSY
02/26/19,02:05 PM,03:05 PM,Royals at White Sox,Camelback Ranch - Glendale,"",02/26/19,02/26/19,05:05 PM,06:05 PM,FALSE,TRUE,02/26/19,01:05 PM,02:05 PM,FREE,BUSY
02/27/19,02:05 PM,03:05 PM,Royals at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KCSP 610",02/27/19,02/27/19,05:05 PM,06:05 PM,FALSE,TRUE,02/27/19,01:05 PM,02:05 PM,FREE,BUSY
02/28/19,02:05 PM,03:05 PM,Padres at Royals,Surprise Stadium - Surprise,"Local Radio: KCSP 610",02/28/19,02/28/19,05:05 PM,06:05 PM,FALSE,TRUE,02/28/19,01:05 PM,02:05 PM,FREE,BUSY
03/01/19,02:10 PM,03:10 PM,Royals at Angels,Tempe Diablo Stadium - Tempe,"Local Radio: KCSP 610",03/01/19,03/01/19,05:10 PM,06:10 PM,FALSE,TRUE,03/01/19,01:10 PM,02:10 PM,FREE,BUSY
03/02/19,02:05 PM,03:05 PM,Mariners at Royals,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/02/19,03/02/19,05:05 PM,06:05 PM,FALSE,TRUE,03/02/19,01:05 PM,02:05 PM,FREE,BUSY
03/03/19,02:05 PM,03:05 PM,Royals at Indians,Goodyear Ballpark - Goodyear,"Local Radio: KCSP 610",03/03/19,03/03/19,05:05 PM,06:05 PM,FALSE,TRUE,03/03/19,01:05 PM,02:05 PM,FREE,BUSY
03/05/19,07:05 PM,08:05 PM,D-backs at Royals,Surprise Stadium - Surprise,"Local Radio: KCSP 610",03/05/19,03/05/19,10:05 PM,11:05 PM,FALSE,TRUE,03/05/19,06:05 PM,07:05 PM,FREE,BUSY
03/06/19,02:05 PM,03:05 PM,Royals at Cubs,Sloan Park - Mesa,"Local Radio: KCSP 610",03/06/19,03/06/19,05:05 PM,06:05 PM,FALSE,TRUE,03/06/19,01:05 PM,02:05 PM,FREE,BUSY
03/07/19,02:05 PM,03:05 PM,Angels at Royals,Surprise Stadium - Surprise,"Local Radio: KCSP 610",03/07/19,03/07/19,05:05 PM,06:05 PM,FALSE,TRUE,03/07/19,01:05 PM,02:05 PM,FREE,BUSY
03/08/19,02:05 PM,03:05 PM,Reds at Royals,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/08/19,03/08/19,05:05 PM,06:05 PM,FALSE,TRUE,03/08/19,01:05 PM,02:05 PM,FREE,BUSY
03/08/19,08:05 PM,09:05 PM,Royals at Dodgers,Camelback Ranch - Glendale,"Local Radio: KCSP 610",03/08/19,03/09/19,11:05 PM,12:05 AM,FALSE,TRUE,03/08/19,07:05 PM,08:05 PM,FREE,BUSY
03/09/19,02:10 PM,03:10 PM,Royals at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local TV: FSKC ----- Local Radio: MLB.com",03/09/19,03/09/19,05:10 PM,06:10 PM,FALSE,TRUE,03/09/19,01:10 PM,02:10 PM,FREE,BUSY
03/10/19,03:05 PM,04:05 PM,Padres at Royals,Surprise Stadium - Surprise,"Local Radio: KCSP 610",03/10/19,03/10/19,06:05 PM,07:05 PM,FALSE,TRUE,03/10/19,02:05 PM,03:05 PM,FREE,BUSY
03/11/19,08:40 PM,09:40 PM,Royals at Mariners,Peoria Stadium - Peoria,"Local TV: MLBN",03/11/19,03/12/19,11:40 PM,12:40 AM,FALSE,TRUE,03/11/19,07:40 PM,08:40 PM,FREE,BUSY
03/11/19,09:05 PM,10:05 PM,Royals at Rangers,Surprise Stadium - Surprise,"Local TV: FSKC ----- Local Radio: KCSP 610",03/12/19,03/12/19,12:05 AM,01:05 AM,FALSE,TRUE,03/11/19,08:05 PM,09:05 PM,FREE,BUSY
03/13/19,03:05 PM,04:05 PM,Indians at Royals,Surprise Stadium - Surprise,"Local TV: FSKC- MLBN (out-of-market only) ----- Local Radio: KCSP 610",03/13/19,03/13/19,06:05 PM,07:05 PM,FALSE,TRUE,03/13/19,02:05 PM,03:05 PM,FREE,BUSY
03/14/19,03:05 PM,04:05 PM,Rangers at Royals,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/14/19,03/14/19,06:05 PM,07:05 PM,FALSE,TRUE,03/14/19,02:05 PM,03:05 PM,FREE,BUSY
